Cidade,Micro Setor,Zona,Coordenadas
Diadema,Piraporinha,Diadema,"-23.682087313357446, -46.58422028609791"
São Bernardo Do Campo,Planalto,São Bernardo Do Campo,"-23.699431897147473, -46.56848546409123"
Guarulhos,Residencial Parque Cumbica,Guarulhos,"-23.42099724644699, -46.420675232192735"
São Paulo,Jardim Irapiranga,Zona Sul,"-23.6622684314154, -46.79080607573001"
São Paulo,Jardim Da Conquista (Zona Leste),Zona Leste,
Guarulhos,Parque Continental Ii,Guarulhos,"-23.42666436248182, -46.54839860048447"
São Paulo,Vila Barbosa,Zona Norte,
Guarulhos,Cidade Parque Brasília,Guarulhos,"-23.435550716421883, -46.41629521199283"
São Paulo,Vila Bela Vista (Zona Norte),Zona Norte,
São Paulo,Jardim Regina,Zona Norte,
São Paulo,Jardim Novo Parelheiros,Zona Sul,
São Paulo,Vila Graciosa,Zona Leste,
São Paulo,Cidade Nitro Operária,Zona Leste,
São Paulo,Vila Iolanda Ii,Zona Sul,
Guarulhos,Itaim,Guarulhos,"-23.46994123414766, -46.39440821798278"
Mauá,Parque São Vicente,Mauá,"-23.666517244221698, -46.475966010547594"
São Paulo,Jardim São José,Zona Norte,"-23.485282794706166, -46.712405278919626"
São Paulo,Jardim Maringá,Zona Leste,
São Paulo,Vila Carmosina,Zona Leste,
São Paulo,Jardim Senice,Zona Norte,
São Paulo,Jardim Santo Elias,Zona Oeste,
Guarulhos,Vila Trabalhista,Guarulhos,
São Paulo,Jardim Novo Parelheiros,Zona Sul,"-23.829512968638117, -46.722377042952246"
São Paulo,Parque Boturussu,Zona Norte,
São Paulo,Vila Constança,Zona Norte,
Carapicuíba,Vila Dirce,Carapicuíba,"-23.55970379039268, -46.839046814266815"
São Paulo,Vila Missionária,Zona Sul,
Mauá,Vila Flórida,Mauá,
São Paulo,Vila Narciso,Zona Oeste,"-23.74948242999827, -46.66713338999751"
São Paulo,Vila Antonieta,Zona Leste,"-23.57224183966457, -46.51416683765291"
Guarulhos,Jardim Dos Olivas,Guarulhos,
São Paulo,Vila Jaraguá,Zona Norte,
Diadema,Campanário,Diadema,"-23.671604422113074, -46.61975458533856"
São Paulo,Jardim Marabá,Zona Leste,
São Paulo,Jardim Nove De Julho,Zona Leste,
Ferraz De Vasconcelos,Jardim São Fernando,Ferraz De Vasconcelos,"-23.51918338271579, -46.374795599285264"
São Paulo,Chácara Cocaia,Zona Leste,
São Paulo,Vila Das Belezas,Zona Sul,
São Paulo,Jardim Caguassu,Zona Leste,
Guarulhos,Jardim São Paulo,Guarulhos,
São Paulo,Colônia Zona Leste,Zona Leste,
São Paulo,Jardim Santa Margarida,Zona Sul,
Barueri,Parque Dos Camargos,Barueri,"-23.535565587323205, -46.8890284483603"
São Paulo,Paraisópolis,Zona Sul,
Cotia,Granja Carneiro Viana ,Cotia,"-23.57478074126682, -46.90795219949476"
São Paulo,Jardim Pedro José Nunes,Zona Leste,
Carapicuíba,Vila Veloso,Carapicuíba,"-23.551685647532494, -46.83028091356473"
São Paulo,Jardim Felicidade (Zona Norte),Zona Norte,
Mauá,Jardim Itapark Velho,Mauá,
São Paulo,Vila Macedópolis,Zona Sul,
São Paulo,Jardim Nova Vitória Ii,Zona Leste,
São Paulo,Jardim Castro Alves,Zona Leste,
São Paulo,Limoeiro,Zona Leste,
Carapicuíba,Jardim Santa Tereza,Carapicuíba,"-23.54829202451521, -46.82838039769884"
São Paulo,Jardim Helena,Zona Leste,
São Paulo,Jardim Danfer,Zona Leste,
São Paulo,Interlagos,Zona Sul,
Osasco,Jardim D'abril,Osasco,"-23.564047646626964, -46.77890421873923"
Jandira,Jardim Novo Horizonte,Jandira,"-23.538960436556305, -46.902189555892264"
São Paulo,Jardim Nordeste,Zona Leste,
Embu,Jardim Vista Alegre,Embu,"-23.62798178849934, -46.824322826693766"
São Paulo,Jardim Marilu,Zona Leste,
Osasco,Remédios,Osasco,"-23.518326314152606, -46.75544221985765"
São Paulo,Jardim Felicidade (Zona Norte),Zona Norte,
São Paulo,Vila Ema,Zona Leste,
São Bernardo Do Campo,Montanhão,São Bernardo Do Campo,
São Paulo,Imirim,Zona Norte,
